dt,rank,point
521660.89526,26141.0,8010.0
521660.886284,26142.0,8010.0
521660.878306,26143.0,8010.0
521660.87132299994,26144.0,8010.0
521660.863346,26145.0,8010.0
521660.855334,26146.0,8005.0
521660.847388,26147.0,8005.0
521660.840407,26148.0,8000.0
521660.832428,26149.0,8000.0
521660.82444899995,26150.0,8000.0
521345.086769,20622.0,16380.0
521345.078791,20623.0,16380.0
521345.0698140001,20624.0,16380.0
521345.06183599995,20625.0,16380.0
521345.053858,20626.0,16380.0
521345.04488100007,20627.0,16372.0
521345.036903,20628.0,16370.0
521345.028924,20629.0,16365.0
521345.019948,20630.0,16365.0
521345.009975,20631.0,16365.0
520991.084651,16747.0,25110.0
520991.076675,16748.0,25110.0
520991.067698,16749.0,25110.0
520991.05971899995,16750.0,25110.0
520991.051728,16751.0,25110.0
520991.043762,16752.0,25109.0
520991.035783,16753.0,25108.0
520991.027805,16754.0,25105.0
520991.019826,16755.0,25105.0
520991.01184799994,16756.0,25095.0
520571.375153,1.0,8657550.0
520571.3661770001,2.0,6697530.0
520571.357199,3.0,6637710.0
520571.348225,4.0,6041820.0
520571.339249,5.0,5276670.0
520571.329275,6.0,4953265.0
520571.3212970001,7.0,4914330.0
520571.31331800006,8.0,4637695.0
520571.303345,9.0,2038878.0
520571.29436899995,10.0,2007490.0
458732.229792,21016.0,25110.0
458732.16627399996,21017.0,25110.0
458732.152311,21018.0,25110.0
458732.13933599996,21019.0,25110.0
458732.124386,21020.0,25110.0
458732.11042299995,21021.0,25110.0
458732.09945200005,21022.0,25110.0
458732.08648199996,21023.0,25109.0
458732.073521,21024.0,25108.0
458732.06055600004,21025.0,25106.0
458017.478582,17936.0,34020.0
458017.467612,17937.0,34014.0
458017.457639,17938.0,34005.0
458017.448662,17939.0,34005.0
458017.437692,17940.0,34005.0
458017.42771899997,17941.0,34000.0
458017.417746,17942.0,34000.0
458017.407741,17943.0,33995.0
458017.397798,17944.0,33995.0
458017.383836,17945.0,33990.0
457672.222163,15784.0,42525.0
457672.211193,15785.0,42525.0
457672.20122,15786.0,42525.0
457672.191246,15787.0,42514.0
457672.182269,15788.0,42510.0
457672.17229799996,15789.0,42505.0
457672.161326,15790.0,42505.0
457672.151893,15791.0,42505.0
457672.142915,15792.0,42495.0
457672.132943,15793.0,42495.0
457337.769296,14092.0,51165.0
457337.757328,14093.0,51160.0
457337.748352,14094.0,51150.0
457337.739375,14095.0,51140.0
457337.72840600007,14096.0,51135.0
457337.71843199997,14097.0,51133.0
457337.708458,14098.0,51130.0
457337.699483,14099.0,51120.0
457337.689509,14100.0,51115.0
457337.67953599995,14101.0,51105.0
456850.900638,12538.0,59550.0
456850.8896680001,12539.0,59549.0
456850.878697,12540.0,59545.0
456850.867728,12541.0,59540.0
456850.858735,12542.0,59535.0
456850.848779,12543.0,59520.0
456850.838805,12544.0,59520.0
456850.827834,12545.0,59520.0
456850.817861,12546.0,59505.0
456850.80688999995,12547.0,59505.0
456095.140975,11339.0,67305.0
456095.131001,11340.0,67305.0
456095.121021,11341.0,67305.0
456095.110058,11342.0,67305.0
456095.10108100006,11343.0,67305.0
456095.09110699996,11344.0,67290.0
456095.081136,11345.0,67275.0
456095.07116099994,11346.0,67275.0
456095.06019,11347.0,67260.0
456095.050216,11348.0,67260.0
455697.297025,10316.0,75315.0
455697.2860720001,10317.0,75306.0
455697.27609700005,10318.0,75275.0
455697.263133,10319.0,75270.0
455697.253159,10320.0,75270.0
455697.241191,10321.0,75257.0
455697.231212,10322.0,75255.0
455697.21924899996,10323.0,75250.0
455697.210274,10324.0,75240.0
455697.19929799996,10325.0,75226.0
455322.52978,9287.0,83961.0
455322.519808,9288.0,83955.0
455322.509398,9289.0,83901.0
455322.499424,9290.0,83895.0
455322.488453,9291.0,83895.0
455322.4794770001,9292.0,83890.0
455322.469504,9293.0,83886.0
455322.45853299997,9294.0,83871.0
455322.447563,9295.0,83870.0
455322.43758900004,9296.0,83865.0
455146.28547,1.0,12191040.0
455146.27250600007,2.0,11076555.0
455146.262532,3.0,9899940.0
455146.25156199996,4.0,7619575.0
455146.240592,5.0,7216090.0
455146.23061800003,6.0,7084065.0
455146.220645,7.0,6907275.0
455146.209674,8.0,6907080.0
455146.200024,9.0,4341780.0
455146.19005,10.0,3852922.0
435386.729914,10244.0,83925.0
435386.711983,10245.0,83925.0
435386.69901899993,10246.0,83920.0
435386.687051,10247.0,83895.0
435386.675078,10248.0,83895.0
435386.662109,10249.0,83886.0
435386.650149,10250.0,83865.0
435386.637184,10251.0,83863.0
435386.625855,10252.0,83860.0
435386.613879,10253.0,83858.0
435002.853616,9339.0,92592.0
435002.842646,9340.0,92545.0
435002.832673,9341.0,92545.0
435002.82369700004,9342.0,92525.0
435002.813723,9343.0,92520.0
435002.80375,9344.0,92507.0
435002.794774,9345.0,92500.0
435002.78380200005,9346.0,92490.0
435002.772833,9347.0,92475.0
435002.762859,9348.0,92470.0
415833.362431,10113.0,92592.0
415833.346473,10114.0,92545.0
415833.333508,10115.0,92545.0
415833.318548,10116.0,92525.0
415833.304586,10117.0,92520.0
415833.291617,10118.0,92507.0
415833.278653,10119.0,92506.0
415833.26568899996,10120.0,92505.0
415833.253722,10121.0,92500.0
415833.241753,10122.0,92475.0
415490.504314,9355.0,100650.0
415490.492336,9356.0,100650.0
415490.478383,9357.0,100650.0
415490.465419,9358.0,100620.0
415490.454449,9359.0,100620.0
415490.439488,9360.0,100610.0
415490.427521,9361.0,100605.0
415490.41255999997,9362.0,100605.0
415490.3976,9363.0,100595.0
415490.38463499997,9364.0,100591.0
415184.687645,8609.0,109233.0
415184.673675,8610.0,109218.0
415184.66072,8611.0,109195.0
415184.648751,8612.0,109185.0
415184.635786,8613.0,109185.0
415184.621824,8614.0,109170.0
415184.609856,8615.0,109165.0
415184.59586999996,8616.0,109165.0
415184.583904,8617.0,109155.0
415184.571956,8618.0,109143.0
414851.701784,7936.0,117545.0
414851.686825,7937.0,117530.0
414851.675854,7938.0,117525.0
414851.664883,7939.0,117525.0
414851.652915,7940.0,117480.0
414851.642941,7941.0,117455.0
414851.628979,7942.0,117439.0
414851.618009,7943.0,117420.0
414851.605043,7944.0,117416.0
414851.594073,7945.0,117405.0
414708.762459,1.0,15577050.0
414708.748496,2.0,13309095.0
414708.735531,3.0,12034995.0
414708.722565,4.0,10030645.0
414708.7096,5.0,9008915.0
414708.693643,6.0,8766855.0
414708.682661,7.0,8197425.0
414708.669706,8.0,7301310.0
414708.655743,9.0,6385792.0
414708.640784,10.0,5489430.0
359587.727746,9785.0,117555.0
359587.714782,9786.0,117539.0
359587.706803,9787.0,117525.0
359587.6978260001,9788.0,117495.0
359587.689827,9789.0,117480.0
359587.68187,9790.0,117470.0
359587.671895,9791.0,117465.0
359587.66292,9792.0,117459.0
359587.654942,9793.0,117439.0
359587.6459650001,9794.0,117435.0
359246.917192,9126.0,126625.0
359246.907219,9127.0,126620.0
359246.8982130001,9128.0,126610.0
359246.890264,9129.0,126610.0
359246.8812880001,9130.0,126600.0
359246.873309,9131.0,126594.0
359246.86533,9132.0,126585.0
359246.856354,9133.0,126585.0
359246.848376,9134.0,126561.0
359246.839399,9135.0,126541.0
358853.7195260001,8553.0,135075.0
358853.709554,8554.0,135070.0
358853.7005780001,8555.0,135030.0
358853.691568,8556.0,135010.0
358853.683623,8557.0,135000.0
358853.67365,8558.0,134965.0
358853.664674,8559.0,134880.0
358853.655698,8560.0,134870.0
358853.646722,8561.0,134850.0
358853.638743,8562.0,134840.0
358528.131223,8090.0,142439.0
358528.12124899996,8091.0,142413.0
358528.112272,8092.0,142410.0
358528.1042880001,8093.0,142395.0
358528.095319,8094.0,142380.0
358528.086342,8095.0,142375.0
358528.077367,8096.0,142350.0
358528.069388,8097.0,142334.0
358528.060412,8098.0,142330.0
358528.051435,8099.0,142230.0
358018.088232,7678.0,150675.0
358018.076263,7679.0,150675.0
358018.066291,7680.0,150654.0
358018.057314,7681.0,150650.0
358018.047341,7682.0,150615.0
358018.037367,7683.0,150605.0
358018.027395,7684.0,150600.0
358018.017421,7685.0,150576.0
358018.008444,7686.0,150574.0
358017.998472,7687.0,150550.0
357819.348138,1.0,19253275.0
357819.337758,2.0,15798060.0
357819.327788,3.0,13059045.0
357819.318812,4.0,12000055.0
357819.308839,5.0,10912385.0
357819.299864,6.0,10467849.0
357819.287896,7.0,10101465.0
357819.27791999996,8.0,9149137.0
357819.266951,9.0,8795655.0
357819.256977,10.0,7566075.0
325976.462974,8674.0,150654.0
325976.452003,8675.0,150645.0
325976.443027,8676.0,150630.0
325976.433053,8677.0,150620.0
325976.424078,8678.0,150615.0
325976.414104,8679.0,150615.0
325976.403134,8680.0,150605.0
325976.394158,8681.0,150600.0
325976.385182,8682.0,150576.0
325976.376206,8683.0,150574.0
325640.479788,7911.0,159105.0
325640.469814,7912.0,159090.0
325640.460839,7913.0,159057.0
325640.45286,7914.0,159047.0
325640.443884,7915.0,159045.0
325640.434908,7916.0,159025.0
325640.42593200004,7917.0,159000.0
325640.416956,7918.0,158970.0
325640.40798,7919.0,158970.0
325640.40000100003,7920.0,158960.0
325273.139336,7450.0,166595.0
325273.129362,7451.0,166580.0
325273.120386,7452.0,166574.0
325273.11141,7453.0,166560.0
325273.102434,7454.0,166515.0
325273.093458,7455.0,166500.0
325273.084467,7456.0,166500.0
325273.076504,7457.0,166467.0
325273.06752800004,7458.0,166440.0
325273.059547,7459.0,166439.0
324810.63749,7018.0,174523.0
324810.628485,7019.0,174512.0
324810.618541,7020.0,174510.0
324810.610562,7021.0,174487.0
324810.600589,7022.0,174480.0
324810.59261,7023.0,174472.0
324810.582637,7024.0,174465.0
324810.573661,7025.0,174440.0
324810.563688,7026.0,174438.0
324810.55570900004,7027.0,174420.0
324538.773169,1.0,21980545.0
324538.763196,2.0,17811735.0
324538.75422,3.0,14594715.0
324538.744245,4.0,13000785.0
324538.73527,5.0,12933545.0
324538.726294,6.0,11908875.0
324538.717318,7.0,11689119.0
324538.708342,8.0,10866262.0
324538.699366,9.0,10233015.0
324538.690391,10.0,9114420.0
323725.087856,6599.0,183715.0
323725.077882,6600.0,183700.0
323725.068907,6601.0,183690.0
323725.0599,6602.0,183675.0
323725.05156999995,6603.0,183675.0
323725.04259,6604.0,183671.0
323725.033618,6605.0,183670.0
323725.025639,6606.0,183642.0
323725.015666,6607.0,183630.0
323725.00669,6608.0,183600.0
202635.999303,9111.0,183796.0
202635.973358,9112.0,183780.0
202635.958417,9113.0,183750.0
202635.943457,9114.0,183735.0
202635.9275,9115.0,183675.0
202635.91553199998,9116.0,183670.0
202635.899575,9117.0,183613.0
202635.88461500002,9118.0,183605.0
202635.871649,9119.0,183600.0
202635.85868399998,9120.0,183590.0
202267.836937,8680.0,192408.0
