dt,rank,point
622011.321677,5353.0,4365.0
622011.312701,5354.0,4360.0
622011.304722,5355.0,4350.0
622011.2967439999,5356.0,4350.0
622011.288765,5357.0,4350.0
622011.281784,5358.0,4345.0
622011.2748029999,5359.0,4340.0
622011.267821,5360.0,4340.0
622011.259843,5361.0,4335.0
622011.252861,5362.0,4335.0
621703.708206,4124.0,9274.0
621703.700228,4125.0,9270.0
621703.693246,4126.0,9270.0
621703.685268,4127.0,9270.0
621703.677289,4128.0,9270.0
621703.6703069999,4129.0,9265.0
621703.663326,4130.0,9265.0
621703.656345,4131.0,9260.0
621703.6493640001,4132.0,9255.0
621703.641386,4133.0,9255.0
621414.9879109999,2847.0,14250.0
621414.978935,2848.0,14245.0
621414.971953,2849.0,14245.0
621414.96597,2850.0,14235.0
621414.9589890001,2851.0,14235.0
621414.952005,2852.0,14220.0
621414.9460229999,2853.0,14220.0
621414.939042,2854.0,14220.0
621414.932027,2855.0,14215.0
621414.9260770001,2856.0,14205.0
621312.158955,1.0,204990.0
621312.1499770001,2.0,197265.0
621312.142,3.0,195510.0
621312.135017,4.0,190443.0
621312.125045,5.0,189930.0
621312.118064,6.0,184395.0
621312.111082,7.0,176030.0
621312.104101,8.0,164584.0
621312.0971189999,9.0,160125.0
621312.090139,10.0,156315.0
544135.076866,15359.0,14250.0
544135.064898,15360.0,14250.0
544135.055923,15361.0,14250.0
544135.0469470001,15362.0,14250.0
544135.037971,15363.0,14235.0
544135.028993,15364.0,14235.0
544135.0200189999,15365.0,14235.0
544135.011042,15366.0,14235.0
544135.002066,15367.0,14235.0
544134.993089,15368.0,14235.0
543749.675054,12735.0,19280.0
543749.667076,12736.0,19275.0
543749.657103,12737.0,19275.0
543749.6481270001,12738.0,19275.0
543749.640147,12739.0,19275.0
543749.6311720001,12740.0,19270.0
543749.623193,12741.0,19260.0
543749.614217,12742.0,19260.0
543749.606239,12743.0,19260.0
543749.597263,12744.0,19260.0
543324.970582,10971.0,24120.0
543324.9616060001,10972.0,24115.0
543324.9516319999,10973.0,24115.0
543324.9426569999,10974.0,24105.0
543324.931686,10975.0,24105.0
543324.9227100001,10976.0,24100.0
543324.9137340001,10977.0,24090.0
543324.904758,10978.0,24090.0
543324.896779,10979.0,24090.0
543324.8878029999,10980.0,24090.0
542773.596679,9274.0,29430.0
542773.586706,9275.0,29430.0
542773.57773,9276.0,29430.0
542773.568754,9277.0,29430.0
542773.559777,9278.0,29430.0
542773.550801,9279.0,29425.0
542773.5408279999,9280.0,29425.0
542773.531852,9281.0,29425.0
542773.522876,9282.0,29415.0
542773.512903,9283.0,29415.0
542282.226276,8049.0,34380.0
542282.2163020001,8050.0,34380.0
542282.207326,8051.0,34380.0
542282.19835,8052.0,34380.0
542282.188822,8053.0,34380.0
542282.179874,8054.0,34366.0
542282.170898,8055.0,34365.0
542282.1619180001,8056.0,34365.0
542282.152946,8057.0,34360.0
542282.14397,8058.0,34355.0
541998.036662,6844.0,39475.0
541998.027687,6845.0,39475.0
541998.018711,6846.0,39470.0
541998.009719,6847.0,39470.0
541998.000758,6848.0,39465.0
541997.9917819999,6849.0,39456.0
541997.981808,6850.0,39455.0
541997.970823,6851.0,39435.0
541997.9608649999,6852.0,39435.0
541997.951889,6853.0,39430.0
541672.131179,5938.0,44190.0
541672.122203,5939.0,44190.0
541672.113227,5940.0,44190.0
541672.103255,5941.0,44190.0
541672.094277,5942.0,44190.0
541672.085302,5943.0,44180.0
541672.076326,5944.0,44175.0
541672.066353,5945.0,44175.0
541672.057377,5946.0,44175.0
541672.045408,5947.0,44160.0
541461.280302,1.0,3710175.0
541461.2703310001,2.0,2982904.0
541461.261354,3.0,2637117.0
541461.251381,4.0,2529180.0
541461.242404,5.0,2347690.0
541461.2334,6.0,2302466.0
541461.225449,7.0,2003272.0
541461.215477,8.0,1743705.0
541461.204506,9.0,1621195.0
541461.19553,10.0,1534730.0
522827.077709,7345.0,44205.0
522827.067717,7346.0,44200.0
522827.058759,7347.0,44190.0
522827.04878599994,7348.0,44190.0
522827.0398100001,7349.0,44190.0
522827.03083400003,7350.0,44175.0
522827.02185600006,7351.0,44175.0
522827.01188400004,7352.0,44175.0
522827.002908,7353.0,44160.0
522826.9929350001,7354.0,44160.0
522506.730379,6520.0,49495.0
522506.720407,6521.0,49485.0
522506.71143,6522.0,49484.0
522506.701457,6523.0,49477.0
522506.691484,6524.0,49470.0
522506.682507,6525.0,49455.0
522506.673531,6526.0,49455.0
522506.663558,6527.0,49445.0
522506.654582,6528.0,49440.0
522506.644608,6529.0,49440.0
522114.749755,5818.0,54230.0
522114.738784,5819.0,54230.0
522114.725819,5820.0,54225.0
522114.715846,5821.0,54225.0
522114.705873,5822.0,54225.0
522114.6959,5823.0,54220.0
522114.684903,5824.0,54210.0
522114.676108,5825.0,54210.0
522114.666134,5826.0,54190.0
522114.657159,5827.0,54180.0
521784.403146,5118.0,59415.0
521784.392175,5119.0,59415.0
521784.382201,5120.0,59415.0
521784.373226,5121.0,59415.0
521784.362254,5122.0,59415.0
521784.35327799997,5123.0,59383.0
521784.3433050001,5124.0,59380.0
521784.33333199995,5125.0,59370.0
521784.323357,5126.0,59370.0
521784.31138900004,5127.0,59355.0
521642.999202,1.0,3832230.0
521642.98623599997,2.0,2982904.0
521642.97626400006,3.0,2964198.0
521642.96728599997,4.0,2914155.0
521642.957313,5.0,2637117.0
521642.94733999996,6.0,2617315.0
521642.937359,7.0,2430352.0
521642.92739399994,8.0,2007240.0
521642.918418,9.0,1863175.0
521642.90844300005,10.0,1855725.0
487358.462062,6855.0,59445.0
487358.422168,6856.0,59430.0
487358.405213,6857.0,59425.0
487358.39125100005,6858.0,59415.0
487358.377287,6859.0,59415.0
487358.36432299996,6860.0,59415.0
487358.353351,6861.0,59400.0
487358.340387,6862.0,59400.0
487358.327392,6863.0,59385.0
487358.31445699994,6864.0,59370.0
487042.824051,6205.0,64500.0
487042.81108599994,6206.0,64485.0
487042.798118,6207.0,64485.0
487042.787149,6208.0,64480.0
487042.772732,6209.0,64470.0
487042.761761,6210.0,64455.0
487042.748797,6211.0,64440.0
487042.73380600003,6212.0,64440.0
487042.72186800005,6213.0,64440.0
487042.707906,6214.0,64395.0
486722.249196,5729.0,69520.0
486722.235234,5730.0,69510.0
486722.222745,5731.0,69510.0
486722.20879799995,5732.0,69495.0
486722.195809,5733.0,69480.0
486722.183864,5734.0,69465.0
486722.16990200005,5735.0,69440.0
486722.156938,5736.0,69435.0
486722.142975,5737.0,69420.0
486722.12498500006,5738.0,69405.0
486374.553307,5329.0,74400.0
486374.538333,5330.0,74400.0
486374.523387,5331.0,74390.0
486374.512416,5332.0,74375.0
486374.49745600007,5333.0,74340.0
486374.481496,5334.0,74325.0
486374.46702,5335.0,74310.0
486374.453058,5336.0,74290.0
486374.439094,5337.0,74277.0
486374.42413400003,5338.0,74275.0
486212.83812,1.0,4900020.0
486212.823183,2.0,4105294.0
486212.805225,3.0,4055415.0
486212.79126400006,4.0,3453232.0
486212.776303,5.0,3436480.0
486212.761112,6.0,3297823.0
486212.745157,7.0,3085990.0
