dt,rank,point
976535.367191,19165.0,4770.0
976535.359212,19166.0,4770.0
976535.3512340001,19167.0,4765.0
976298.411725,15768.0,9450.0
976298.40275,15769.0,9450.0
976298.393774,15770.0,9445.0
975329.7711629999,12598.0,14595.0
975329.763184,12599.0,14595.0
975329.755206,12600.0,14585.0
975007.995416,10345.0,19320.0
975007.986441,10346.0,19320.0
975007.97946,10347.0,19319.0
974649.390181,8826.0,24060.0
974649.382202,8827.0,24060.0
974649.3742229999,8828.0,24045.0
974358.107993,7545.0,28755.0
974358.097023,7546.0,28755.0
974358.088047,7547.0,28740.0
884145.920534,12224.0,28755.0
884145.907569,12225.0,28755.0
884145.900588,12226.0,28755.0
883888.733675,10930.0,33585.0
883888.7247129999,10931.0,33585.0
883888.716734,10932.0,33580.0
883605.637969,9867.0,37905.0
883605.6299899998,9868.0,37905.0
883605.62201,9869.0,37900.0
883330.515971,9010.0,42330.0
883330.506005,9011.0,42330.0
883330.498026,9012.0,42325.0
882647.19684,8194.0,47175.0
882647.1828780002,8195.0,47175.0
882647.1758969999,8196.0,47170.0
882416.769273,7454.0,52080.0
882416.7582879999,7455.0,52080.0
882416.7493139999,7456.0,52065.0
631752.496314,13755.0,52085.0
631752.485342,13756.0,52080.0
631752.477364,13757.0,52080.0
631315.324147,13055.0,56655.0
631315.315171,13056.0,56655.0
631315.306195,13057.0,56653.0
630714.547076,12388.0,61100.0
630714.5381,12389.0,61095.0
630714.530122,12390.0,61094.0
630454.202707,11749.0,65700.0
630454.1937310001,11750.0,65700.0
630454.185753,11751.0,65685.0
630199.2506050001,11255.0,70320.0
630199.2416300001,11256.0,70320.0
630199.2336510001,11257.0,70300.0
545351.9396510001,12521.0,70320.0
545351.927684,12522.0,70320.0
545351.918708,12523.0,70320.0
545125.9836,11890.0,75555.0
545125.974624,11891.0,75555.0
545125.965648,11892.0,75549.0
544879.907162,10497.0,80015.0
544879.897189,10498.0,80010.0
544879.888214,10499.0,79995.0
544557.4189640001,9917.0,84840.0
544557.407994,9918.0,84840.0
544557.3970229999,9919.0,84815.0
543621.84426,9396.0,89610.0
543621.83329,9397.0,89595.0
543621.8243140001,9398.0,89584.0
543345.104216,8976.0,94260.0
543345.094243,8977.0,94260.0
543345.085266,8978.0,94255.0
372354.967138,10495.0,94272.0
372354.953175,10496.0,94260.0
372354.942205,10497.0,94245.0
372113.81305500004,10091.0,98850.0
372113.803083,10092.0,98835.0
372113.79410500004,10093.0,98820.0
371862.134933,9762.0,103115.0
371862.123961,9763.0,103110.0
371862.113988,9764.0,103095.0
371594.506573,9372.0,107905.0
371594.493607,9373.0,107895.0
371594.483634,9374.0,107875.0
199005.479762,10482.0,107900.0
199005.46879400001,10483.0,107895.0
199005.459818,10484.0,107895.0
198724.73250699998,10177.0,112350.0
198724.722532,10178.0,112335.0
198724.712558,10179.0,112300.0
198480.537036,9847.0,117075.0
198480.527077,9848.0,117060.0
198480.519099,9849.0,117055.0
197622.83412400002,9512.0,121765.0
197622.822155,9513.0,121755.0
197622.813179,9514.0,121733.0
197357.357257,9186.0,126485.0
197357.346287,9187.0,126465.0
197357.337311,9188.0,126450.0
196610.476076,8937.0,131115.0
196610.46311,8938.0,131115.0
196610.454134,8939.0,131093.0
196371.196198,8654.0,135875.0
196371.186225,8655.0,135855.0
196371.17725,8656.0,135830.0
28587.00518,9732.0,135858.0
28586.992215,9733.0,135855.0
28586.982241,9734.0,135855.0
28340.773816,9472.0,140580.0
28340.764841000004,9473.0,140565.0
28340.754868,9474.0,140550.0
28049.448495999997,9210.0,144860.0
28049.43852,9211.0,144855.0
28049.427551,9212.0,144845.0
27331.22362,8955.0,149335.0
27331.212649,8956.0,149265.0
27331.202675,8957.0,149205.0
27047.541601999998,8728.0,153571.0
27047.530631,8729.0,153570.0
27047.521655,8730.0,153555.0
26789.387814,8476.0,157845.0
26789.376843000002,8477.0,157815.0
26789.367868,8478.0,157780.0
0.0,8743.0,157845.0
0.0,8744.0,157815.0
0.0,8745.0,157780.0
