dt,rank,point
198440.723055,26104.0,4575.0
198440.713081,26105.0,4575.0
198440.704105,26106.0,4570.0
198101.334511,22640.0,9075.0
198101.324538,22641.0,9075.0
198101.316559,22642.0,9074.0
197740.875626,19983.0,13605.0
197740.866649,19984.0,13605.0
197740.857674,19985.0,13604.0
196904.34251400002,18196.0,18030.0
196904.332541,18197.0,18030.0
196904.32356400002,18198.0,18025.0
196522.351398,16808.0,22410.0
196522.34242200002,16809.0,22410.0
196522.333446,16810.0,22400.0
196275.324231,15601.0,27000.0
196275.313259,15602.0,27000.0
196275.30428399998,15603.0,26995.0
195986.818142,14423.0,31590.0
195986.809167,14424.0,31575.0
195986.80019,14425.0,31570.0
195699.06056800002,13464.0,36015.0
195699.050595,13465.0,36015.0
195699.04161800002,13466.0,36010.0
195430.332562,12543.0,40260.0
195430.32358599998,12544.0,40260.0
195430.314611,12545.0,40245.0
195185.719038,11709.0,44565.0
195185.709064,11710.0,44565.0
195185.70008699998,11711.0,44560.0
5069.412340999998,15885.0,44575.0
5069.3943880000015,15886.0,44565.0
5069.385412,15887.0,44555.0
4789.270396,15329.0,48990.0
4789.261419,15330.0,48990.0
4789.2534399999995,15331.0,48985.0
4789.244465,15332.0,48974.0
4456.198109,14852.0,53580.0
4456.189133,14853.0,53580.0
4456.1791600000015,14854.0,53572.0
4230.360561,14406.0,58055.0
4230.3496079999995,14407.0,58050.0
4230.339634,14408.0,58035.0
3759.6015820000002,14039.0,62430.0
3759.5916090000014,14040.0,62430.0
3759.5826340000003,14041.0,62420.0
3490.488465,13638.0,67170.0
3490.478492,13639.0,67170.0
3490.468519,13640.0,67155.0
3226.495163,13377.0,71780.0
3226.485189,13378.0,71775.0
3226.477209,13379.0,71760.0
2959.889896,12052.0,76170.0
2959.88092,12053.0,76170.0
2959.871945,12054.0,76165.0
2601.301989,9917.0,80415.0
2601.293015,9918.0,80415.0
2601.284039,9919.0,80410.0
2247.071327,9281.0,84810.0
2247.061354,9282.0,84810.0
2247.053375,9283.0,84795.0
2207.160016,9288.0,84810.0
2131.905061,9290.0,84810.0
1931.5316129999999,9294.0,84810.0
1835.881921,9298.0,84810.0
1710.187888,9301.0,84810.0
1632.5802720000006,9303.0,84810.0
1452.788217,9310.0,84810.0
1106.366326,8771.0,89430.0
1106.356353,8772.0,89430.0
1106.347377,8773.0,89420.0
925.7073859999999,8775.0,89430.0
871.6845900000003,8776.0,89430.0
815.728165,8778.0,89430.0
713.174397,8781.0,89430.0
609.659463,8784.0,89430.0
531.455715,8786.0,89430.0
463.23109000000005,8788.0,89430.0
398.257317,8789.0,89430.0
172.58756100000002,8794.0,89430.0
