dt,rank,point
501668.090015,16996.0,11555.0
501668.07803999993,16997.0,11555.0
501668.068073,16998.0,11550.0
501287.441043,13582.0,23170.0
501287.429528,13583.0,23170.0
501287.421097,13584.0,23160.0
500932.189211,10600.0,34580.0
500932.180234,10601.0,34575.0
500932.170262,10602.0,34570.0
490209.73116400006,12579.0,34580.0
490209.718196,12580.0,34575.0
490209.70922200003,12581.0,34575.0
489941.357206,9621.0,46377.0
489941.347239,9622.0,46370.0
489941.339258,9623.0,46365.0
489649.0263560001,7764.0,58090.0
489649.016383,7765.0,58090.0
489649.0074060001,7766.0,58075.0
489395.88066,6358.0,69070.0
489395.870686,6359.0,69070.0
489395.86171,6360.0,69060.0
377855.537292,14667.0,69070.0
377855.525323,14668.0,69070.0
377855.51435300004,14669.0,69070.0
377578.617203,12425.0,81895.0
377578.606232,12426.0,81895.0
377578.597257,12427.0,81888.0
377319.998035,10592.0,94886.0
377319.98507,10593.0,94885.0
377319.976094,10594.0,94865.0
377041.251832,9154.0,107990.0
377041.239864,9155.0,107950.0
377041.230888,9156.0,107930.0
376313.990353,8091.0,119200.0
376313.979383,8092.0,119195.0
376313.97040700004,8093.0,119180.0
376313.961431,8094.0,119165.0
368394.230398,8357.0,119200.0
368394.216435,8358.0,119195.0
368394.206462,8359.0,119180.0
368153.114403,7868.0,124655.0
368153.103433,7869.0,124640.0
368153.094457,7870.0,124635.0
367881.901935,7119.0,134573.0
367881.891963,7120.0,134555.0
367881.883984,7121.0,134546.0
364513.973548,7234.0,134573.0
364513.96158,7235.0,134555.0
364513.953601,7236.0,134546.0
364255.767088,6785.0,140971.0
364255.757143,6786.0,140960.0
364255.748167,6787.0,140950.0
364255.739191,6788.0,140945.0
363963.706788,6420.0,147175.0
363963.696813,6421.0,147170.0
363963.68684000004,6422.0,147137.0
363689.543082,5689.0,156825.0
363689.532112,5690.0,156815.0
363689.523136,5691.0,156750.0
363689.512165,5692.0,156750.0
199360.747345,9956.0,156825.0
199360.720418,9957.0,156815.0
199360.70147,9958.0,156805.0
199110.627537,8815.0,169580.0
199110.616583,8816.0,169565.0
199110.60760699998,8817.0,169555.0
198651.397145,8153.0,179155.0
198651.386176,8154.0,179150.0
198651.376202,8155.0,179130.0
198049.625288,7370.0,192690.0
198049.613321,7371.0,192685.0
198049.604344,7372.0,192680.0
197731.128837,6815.0,202889.0
197731.116868,6816.0,202820.0
197731.106895,6817.0,202794.0
197445.498701,6310.0,214192.0
197445.488727,6311.0,214175.0
197445.478755,6312.0,214168.0
196760.47908,5816.0,226720.0
196760.46810899998,5817.0,226625.0
196760.454148,5818.0,226604.0
196525.77062999998,5299.0,241333.0
196525.760658,5300.0,241270.0
196525.74968699997,5301.0,241255.0
113036.847518,6410.0,241292.0
113036.834552,6411.0,241270.0
113036.825576,6412.0,241240.0
112786.488364,6191.0,247161.0
112786.47839,6192.0,247135.0
112786.46941500001,6193.0,247110.0
112449.449129,5740.0,261110.0
112449.439156,5741.0,261095.0
112449.430181,5742.0,261068.0
112200.910234,5521.0,267748.0
112200.90026,5522.0,267710.0
112200.89128499999,5523.0,267692.0
13722.712737,6686.0,267740.0
13722.689694,6687.0,267710.0
13722.679785,6688.0,267710.0
13465.812530000001,6348.0,278386.0
13465.802556,6349.0,278355.0
13465.792583000002,6350.0,278318.0
13204.794976,6006.0,289624.0
13204.784006,6007.0,289605.0
13204.77503,6008.0,289562.0
12935.372922,5927.0,292805.0
12935.362944,5928.0,292800.0
12935.353963,5929.0,292755.0
12362.160535,5761.0,299138.0
12362.149564,5762.0,299010.0
12362.140588,5763.0,298950.0
12025.639474,5592.0,305655.0
12025.629501,5593.0,305595.0
12025.619471,5594.0,305556.0
11709.922394,5420.0,312467.0
11709.910428,5421.0,312390.0
11709.898458,5422.0,312285.0
11432.991329,5277.0,319370.0
11432.979354,5278.0,319350.0
11432.969395999999,5279.0,319302.0
