dt,rank,point
431266.318749,45198.0,12465.0
431266.308775,45199.0,12465.0
431266.301793,45200.0,12465.0
431266.293815,45201.0,12460.0
431266.28681400005,45202.0,12455.0
431266.278854,45203.0,12450.0
431266.270876,45204.0,12445.0
431266.26288199995,45205.0,12441.0
431266.255914,45206.0,12440.0
431266.247938,45207.0,12440.0
430951.575867,37949.0,24810.0
430951.56788900006,37950.0,24805.0
430951.560905,37951.0,24805.0
430951.551931,37952.0,24805.0
430951.544932,37953.0,24805.0
430951.53796899994,37954.0,24795.0
430951.530987,37955.0,24790.0
430951.524006,37956.0,24790.0
430951.516027,37957.0,24790.0
430951.509046,37958.0,24789.0
430621.343448,32398.0,36790.0
430621.335471,32399.0,36785.0
430621.328469,32400.0,36785.0
430621.32050900004,32401.0,36780.0
430621.313529,32402.0,36780.0
430621.306547,32403.0,36775.0
430621.299566,32404.0,36775.0
430621.2925850001,32405.0,36770.0
430621.284598,32406.0,36770.0
430621.277625,32407.0,36770.0
429503.2485,28017.0,49225.0
429503.23952299997,28018.0,49220.0
429503.232543,28019.0,49210.0
429503.22456400003,28020.0,49205.0
429503.216586,28021.0,49205.0
429503.208584,28022.0,49200.0
429503.1996300001,28023.0,49200.0
429503.19165200007,28024.0,49195.0
429503.183673,28025.0,49195.0
429503.175694,28026.0,49195.0
429152.992643,25143.0,59715.0
429152.984664,25144.0,59710.0
429152.976686,25145.0,59695.0
429152.96771,25146.0,59690.0
429152.960729,25147.0,59685.0
429152.950755,25148.0,59680.0
429152.94178,25149.0,59675.0
429152.931806,25150.0,59670.0
429152.922818,25151.0,59665.0
429152.912857,25152.0,59665.0
286572.66623000003,26324.0,73917.0
286572.65625500004,26325.0,73905.0
286572.647281,26326.0,73895.0
286572.6403,26327.0,73885.0
286572.633319,26328.0,73885.0
286572.62534,26329.0,73870.0
286572.61736100004,26330.0,73870.0
286572.609383,26331.0,73869.0
286572.60240100004,26332.0,73865.0
286572.594421,26333.0,73859.0
286279.213242,23329.0,87125.0
286279.20426599996,23330.0,87124.0
286279.194287,23331.0,87116.0
286279.186313,23332.0,87115.0
286279.178334,23333.0,87115.0
286279.168361,23334.0,87110.0
286279.158387,23335.0,87107.0
286279.14941300004,23336.0,87107.0
286279.139437,23337.0,87091.0
286279.129465,23338.0,87085.0
285969.619392,21633.0,96131.0
285969.610416,21634.0,96130.0
285969.602408,21635.0,96115.0
285969.595455,21636.0,96115.0
285969.587477,21637.0,96115.0
285969.580496,21638.0,96113.0
285969.572516,21639.0,96108.0
285969.565536,21640.0,96100.0
285969.557556,21641.0,96095.0
285969.550576,21642.0,96085.0
113832.52749,25373.0,96145.0
113832.514525,25374.0,96140.0
113832.504551,25375.0,96139.0
113832.494578,25376.0,96125.0
113832.484604,25377.0,96115.0
113832.474632,25378.0,96115.0
113832.465655,25379.0,96113.0
113832.455682,25380.0,96110.0
113832.446705,25381.0,96110.0
113832.43573599998,25382.0,96100.0
113496.875774,23097.0,109795.0
113496.866794,23098.0,109785.0
113496.85682,23099.0,109770.0
113496.84884100001,23100.0,109765.0
113496.836872,23101.0,109765.0
113496.82789700001,23102.0,109763.0
113496.817924,23103.0,109755.0
113496.80793699999,23104.0,109751.0
113496.798789,23105.0,109750.0
113496.787826,23106.0,109745.0
113118.210765,21251.0,122200.0
113118.20079100001,21252.0,122200.0
113118.190817,21253.0,122200.0
113118.18184100001,21254.0,122198.0
113118.17286500002,21255.0,122195.0
113118.162893,21256.0,122180.0
113118.152919,21257.0,122180.0
113118.143943,21258.0,122160.0
113118.134578,21259.0,122155.0
113118.12460699999,21260.0,122145.0
112800.438725,20144.0,130775.0
112800.42875199999,20145.0,130770.0
112800.419776,20146.0,130750.0
112800.410799,20147.0,130745.0
112800.401824,20148.0,130745.0
112800.39185,20149.0,130744.0
112800.382875,20150.0,130725.0
112800.372901,20151.0,130700.0
112800.363926,20152.0,130687.0
112800.354921,20153.0,130685.0
112118.465387,19009.0,140455.0
112118.45578499998,19010.0,140453.0
112118.445812,19011.0,140444.0
112118.435838,19012.0,140430.0
112118.425865,19013.0,140425.0
112118.41596500001,19014.0,140395.0
112118.406989,19015.0,140395.0
112118.397016,19016.0,140390.0
112118.388039,19017.0,140390.0
112118.378066,19018.0,140370.0
111836.220316,18254.0,148650.0
111836.209403,18255.0,148650.0
111836.200428,18256.0,148649.0
111836.190454,18257.0,148645.0
111836.179483,18258.0,148630.0
111836.17050699999,18259.0,148615.0
111836.161532,18260.0,148615.0
111836.15155699999,18261.0,148595.0
111836.141584,18262.0,148591.0
111836.13161099999,18263.0,148579.0
26272.057227,20282.0,148649.0
26272.043265,20283.0,148648.0
26272.031298,20284.0,148640.0
26272.021324,20285.0,148640.0
26272.011339,20286.0,148630.0
26272.000381,20287.0,148615.0
26271.989409,20288.0,148586.0
26271.980434,20289.0,148575.0
26271.969463,20290.0,148510.0
26271.960486,20291.0,148510.0
25941.74593600001,17668.0,158770.0
25941.735966,17669.0,158765.0
25941.725993,17670.0,158765.0
25941.716019,17671.0,158758.0
25941.706046,17672.0,158755.0
25941.697068999998,17673.0,158754.0
25941.688094,17674.0,158750.0
25941.677122,17675.0,158745.0
25941.667817,17676.0,158740.0
25941.657834999998,17677.0,158740.0
25673.724418,16288.0,168180.0
25673.714444999998,16289.0,168180.0
25673.703888,16290.0,168175.0
25673.692916,16291.0,168170.0
25673.682944,16292.0,168160.0
25673.671972,16293.0,168150.0
25673.661998,16294.0,168120.0
25673.651029,16295.0,168115.0
25673.640056,16296.0,168110.0
25673.631081,16297.0,168099.0
25291.761912,15521.0,175630.0
25291.74994300001,15522.0,175625.0
25291.740967,15523.0,175621.0
25291.730994,15524.0,175615.0
25291.72102,15525.0,175615.0
25291.711047,15526.0,175611.0
25291.701074,15527.0,175600.0
25291.692098,15528.0,175595.0
25291.681127,15529.0,175595.0
25291.669159,15530.0,175590.0
24494.176936,14628.0,184965.0
24494.163972,14629.0,184915.0
24494.150008,14630.0,184908.0
24494.138041,14631.0,184895.0
24494.129065,14632.0,184890.0
24494.117096,14633.0,184890.0
24494.105129,14634.0,184875.0
24494.096154,14635.0,184871.0
24494.084185,14636.0,184850.0
24494.073214,14637.0,184844.0
24165.219849,13912.0,193768.0
24165.20749,13913.0,193763.0
24165.19554,13914.0,193742.0
24165.184569999998,13915.0,193725.0
24165.170607,13916.0,193715.0
24165.157642,13917.0,193709.0
24165.146671,13918.0,193706.0
24165.136699000002,13919.0,193680.0
24165.125728,13920.0,193675.0
24165.114757,13921.0,193660.0
23803.248134,13234.0,203245.0
23803.237162999998,13235.0,203245.0
23803.22719,13236.0,203240.0
23803.216216999997,13237.0,203227.0
23803.206245,13238.0,203195.0
23803.196272999998,13239.0,203190.0
23803.186299,13240.0,203175.0
23803.174331000002,13241.0,203165.0
23803.16336,13242.0,203150.0
23803.152403,13243.0,203140.0
3745.127228,13525.0,203245.0
3745.115259,13526.0,203240.0
3745.10627,13527.0,203227.0
3745.097308,13528.0,203215.0
3745.089329,13529.0,203195.0
3745.079356,13530.0,203190.0
3745.071377,13531.0,203175.0
3745.063399,13532.0,203165.0
3745.054423,13533.0,203140.0
3745.0454229999996,13534.0,203115.0
3381.720496,12679.0,217090.0
3381.7095240000012,12680.0,217075.0
3381.698554,12681.0,217065.0
3381.6895799999998,12682.0,217025.0
3381.678608,12683.0,217000.0
3381.669632,12684.0,216994.0
3381.660657,12685.0,216990.0
