dt,rank,point
286247.572552,32465.0,3240.0
286247.562578,32466.0,3239.0
286247.555597,32467.0,3235.0
285902.573049,26134.0,6480.0
285902.56506999995,26135.0,6479.0
285902.55709200003,26136.0,6479.0
285373.09249899996,22434.0,9900.0
285373.083524,22435.0,9897.0
285373.07554499997,22436.0,9895.0
284777.419849,20191.0,13065.0
284777.410873,20192.0,13064.0
284777.402894,20193.0,13063.0
284465.69568299997,18412.0,16365.0
284465.686707,18413.0,16365.0
284465.678728,18414.0,16361.0
284465.671743,18415.0,16360.0
139132.978748,22841.0,16365.0
139132.94478800002,22842.0,16365.0
139132.93581199998,22843.0,16364.0
138910.07459,21294.0,20100.0
138910.06362,21295.0,20098.0
138910.05464400002,21296.0,20094.0
138616.35813900002,20048.0,23550.0
138616.347163,20049.0,23539.0
138616.339195,20050.0,23536.0
137434.974313,19065.0,26895.0
137434.961348,19066.0,26883.0
137434.953357,19067.0,26883.0
136743.188977,18157.0,30450.30445
136743.177012,18158.0,30445.0
136475.35273699998,17144.0,33975.0
136475.341766,17145.0,33974.0
136475.33279000001,17146.0,33962.0
96440.562209,18094.0,33975.0
96440.55024,18095.0,33971.0
96440.540267,18096.0,33968.0
96134.527276,17138.0,37530.37528
96134.517303,17139.0,37528.0
95671.943525,16394.0,40725.0
95671.931557,16395.0,40722.0
95671.921583,16396.0,40721.0
95434.228477,15661.0,44100.0
95434.21750700001,15662.0,44084.0
95434.209528,15663.0,44081.0
94867.721887,14938.0,47760.0
94867.709913,14939.0,47756.0
94867.700941,14940.0,47743.0
94563.173657,14366.0,51210.0
94563.163684,14367.0,51204.0
94563.154708,14368.0,51194.0
63370.08689299999,15265.0,51210.0
63370.073929,15266.0,51204.0
63370.064952999994,15267.0,51201.0
63116.763753,14643.0,54690.0
63116.750788,14644.0,54686.0
63116.740815,14645.0,54685.0
62753.363311,14155.0,58065.0
62753.353338,14156.0,58054.0
62753.343364,14157.0,58007.0
28605.823702,15374.0,58065.0
28605.810676999998,15375.0,58065.0
28605.801623000014,15376.0,58054.0
28351.339950999998,15018.0,61335.0
28351.330975,15019.0,61320.0
28351.321998000003,15020.0,61316.0
28100.278677,14630.0,64605.0
28100.269701999998,14631.0,64604.0
28100.260725,14632.0,64598.0
27847.093087,14295.0,67725.0
27847.083114,14296.0,67720.0
27847.074138,14297.0,67705.0
27626.406544,14032.0,70095.0
27626.395573,14033.0,70061.0
27626.3856,14034.0,70055.0
27367.909166,12121.0,89019.0
27367.898196,12122.0,89017.0
27367.889219999997,12123.0,88991.0
27119.611499,11874.0,92724.0
27119.602522,11875.0,92720.0
27119.592549,11876.0,92718.0
26906.965443,8983.0,113152.0
26906.955469,8984.0,113147.0
26906.945495999997,8985.0,113147.0
26577.931787,8588.0,116602.0
26577.920815999998,8589.0,116580.0
26577.911839,8590.0,116563.0
26354.707037,7182.0,136434.0
26354.697063,7183.0,136425.0
26354.687088,7184.0,136403.0
6901.143836,7790.0,136434.0
6901.129873000001,7791.0,136425.0
6901.120898,7792.0,136387.0
6670.100004,7605.0,139734.0
6670.090031000002,7606.0,139692.0
6670.081055,7607.0,139691.0
6438.856698,7076.0,150302.0
6438.846708,7077.0,150267.0
6438.83676,7078.0,150251.0
6192.817892,6962.0,153542.0
6192.808916,6963.0,153539.0
6192.798943,6964.0,153403.0
5980.358275,6584.0,163302.0
5980.348318,6585.0,163271.0
5980.338345,6586.0,163200.0
5707.334931,6446.0,166722.0
5707.321965,6447.0,166658.0
5707.312989,6448.0,166657.0
5505.210681000001,6090.0,177096.0
5505.19971,6091.0,177040.0
5505.189736,6092.0,177023.0
4991.7195679999995,6006.0,180516.0
4991.709594,6007.0,180511.0
4991.700619,6008.0,180501.0
4782.823526,5664.0,191250.0
4782.8125549999995,5665.0,191230.0
4782.801585,5666.0,191229.0
4492.937129,5579.0,194880.0
4492.924161,5580.0,194863.0
4492.914191,5581.0,194859.0
4292.060509,5272.0,205372.0
4292.049538,5273.0,205349.0
4292.039565,5274.0,205347.0
4038.2874899999997,5013.0,215272.0
4038.277517,5014.0,215270.0
4038.267543,5015.0,215227.0
3799.943191,4940.0,218827.0
3799.9312219999997,4941.0,218802.0
3799.920252,4942.0,218775.0
3594.252915,4794.0,224175.0
3594.241943,4795.0,224131.0
3594.2319700000003,4796.0,224115.0
