dt,rank,point
203449.864074,5543.0,368660.0
203449.852106,5544.0,368585.0
203449.838143,5545.0,368570.0
203449.826175,5546.0,368547.0
203449.814207,5547.0,368470.0
203449.802239,5548.0,368455.0
202834.483406,5407.0,374555.0
202834.473432,5408.0,374540.0
202834.464456,5409.0,374496.0
202834.45448299998,5410.0,374495.0
202834.444509,5411.0,374390.0
202834.43553299998,5412.0,374357.0
202834.42556,5413.0,374309.0
202834.416584,5414.0,374200.0
202834.405613,5415.0,374181.0
202834.396637,5416.0,374130.0
201494.671561,5270.0,380325.0
201494.66059,5271.0,380170.0
201494.650616,5272.0,380124.0
201494.639646,5273.0,380100.0
201494.628675,5274.0,380090.0
201494.61770499998,5275.0,380060.0
201494.605737,5276.0,379945.0
201494.593769,5277.0,379905.0
201494.582798,5278.0,379895.0
201494.57082999998,5279.0,379875.0
197916.323987,5157.0,386026.0
197916.310023,5158.0,385963.0
197916.298056,5159.0,385946.0
197916.28609,5160.0,385912.0
197916.273123,5161.0,385895.0
197916.262152,5162.0,385783.0
197916.250161,5163.0,385780.0
197916.23921300002,5164.0,385760.0
197916.228243,5165.0,385750.0
197916.216275,5166.0,385720.0
197418.338113,5021.0,391533.0
197418.327142,5022.0,391443.0
197418.317169,5023.0,391399.0
197418.30618699998,5024.0,391390.0
197418.296224,5025.0,391370.0
197418.28622,5026.0,391358.0
197418.275281,5027.0,391315.0
197418.265308,5028.0,391280.0
197418.255334,5029.0,391243.0
197418.244364,5030.0,391199.0
197002.986872,4902.0,397216.0
197002.977389,4903.0,397120.0
197002.968413,4904.0,397059.0
197002.95844000002,4905.0,397053.0
197002.948466,4906.0,397040.0
197002.938493,4907.0,396965.0
197002.927522,4908.0,396946.0
197002.915554,4909.0,396935.0
197002.903569,4910.0,396856.0
197002.891618,4911.0,396853.0
196652.957937,4762.0,403439.0
196652.945969,4763.0,403400.0
196652.933595,4764.0,403395.0
196652.920637,4765.0,403343.0
196652.905672,4766.0,403340.0
196652.888202,4767.0,403309.0
196652.875324,4768.0,403205.0
196652.860483,4769.0,403200.0
196652.845525,4770.0,403186.0
196652.830564,4771.0,403145.0
196235.640524,4630.0,409638.0
196235.630549,4631.0,409551.0
196235.619579,4632.0,409498.0
196235.608607,4633.0,409493.0
196235.597637,4634.0,409445.0
196235.58666600002,4635.0,409375.0
196235.575695,4636.0,409357.0
196235.565723,4637.0,409302.0
196235.554753,4638.0,409265.0
196235.543782,4639.0,409227.0
195773.327376,4495.0,415600.0
195773.31821,4496.0,415475.0
195773.308238,4497.0,415470.0
195773.29826500002,4498.0,415425.0
195773.287295,4499.0,415385.0
195773.27732,4500.0,415380.0
195773.26635,4501.0,415350.0
195773.25538,4502.0,415345.0
195773.245407,4503.0,415345.0
195773.234436,4504.0,415282.0
195084.591858,4373.0,422000.0
195084.578894,4374.0,421965.0
195084.566926,4375.0,421930.0
195084.554958,4376.0,421885.0
195084.542989,4377.0,421850.0
195084.531021,4378.0,421841.0
195084.519054,4379.0,421690.0
195084.508083,4380.0,421627.0
195084.496114,4381.0,421620.0
195084.441824,4382.0,421553.0
194745.696143,4261.0,427865.0
194745.679169,4262.0,427850.0
194745.669196,4263.0,427711.0
194745.65623,4264.0,427689.0
194745.646258,4265.0,427685.0
194745.63528699998,4266.0,427635.0
194745.624315,4267.0,427611.0
194745.61434200002,4268.0,427589.0
194745.603369,4269.0,427520.0
194745.593399,4270.0,427495.0
194611.223297,1.0,18181818.0
194611.212325,2.0,16297755.0
194611.198363,3.0,14667110.0
194611.186393,4.0,13346704.0
194611.174427,5.0,13016286.0
194611.163455,6.0,12597966.0
194611.151489,7.0,12554662.0
194611.139514,8.0,12457696.0
194611.125558,9.0,12154895.0
194611.112593,10.0,11405784.0
140667.158825,4713.0,427960.0
140667.14383800002,4714.0,427909.0
140667.13286800002,4715.0,427850.0
140667.119902,4716.0,427710.0
140667.10693699998,4717.0,427685.0
140667.093972,4718.0,427635.0
140667.080009,4719.0,427611.0
140667.06804100002,4720.0,427589.0
140667.055075,4721.0,427569.0
140667.04210999998,4722.0,427565.0
140234.86243,4521.0,438529.0
140234.848959,4522.0,428310.0
140234.83599300002,4523.0,428301.0
140234.82202999998,4524.0,428270.0
