dt,rank,point
789042.988385,7307.0,4365.0
789042.97941,7308.0,4365.0
789042.9724229998,7309.0,4365.0
789042.965447,7310.0,4365.0
789042.958466,7311.0,4365.0
789042.952482,7312.0,4355.0
789042.945501,7313.0,4352.0
789042.93851,7314.0,4350.0
789042.931538,7315.0,4350.0
789042.924556,7316.0,4350.0
788673.166756,5829.0,8870.0
788673.158777,5830.0,8865.0
788673.151796,5831.0,8865.0
788673.144795,5832.0,8865.0
788673.137834,5833.0,8865.0
788673.1308520002,5834.0,8860.0
788673.124862,5835.0,8860.0
788673.117887,5836.0,8855.0
788673.110906,5837.0,8850.0
788673.1039239998,5838.0,8840.0
788352.603746,4165.0,13470.0
788352.595737,4166.0,13470.0
788352.587789,4167.0,13470.0
788352.5808069998,4168.0,13470.0
788352.573826,4169.0,13470.0
788352.566844,4170.0,13460.0
788352.5598630002,4171.0,13455.0
788352.552882,4172.0,13450.0
788352.5459,4173.0,13440.0
788352.538919,4174.0,13440.0
787751.945957,2673.0,17895.0
787751.935984,2674.0,17890.0
787751.928005,2675.0,17890.0
787751.920011,2676.0,17880.0
787751.9130449998,2677.0,17880.0
787751.906045,2678.0,17875.0
787751.899063,2679.0,17865.0
787751.8921,2680.0,17865.0
787751.88512,2681.0,17865.0
787751.877141,2682.0,17865.0
787410.9870689998,1907.0,22200.0
787410.977095,1908.0,22200.0
787410.970114,1909.0,22200.0
787410.963133,1910.0,22200.0
787410.956152,1911.0,22200.0
787410.94917,1912.0,22185.0
787410.943186,1913.0,22170.0
787410.936204,1914.0,22165.0
787410.929224,1915.0,22159.0
787410.922242,1916.0,22155.0
787036.3253390002,1970.0,22200.0
787036.317361,1971.0,22200.0
787036.309381,1972.0,22200.0
787036.300406,1973.0,22200.0
787036.29242,1974.0,22200.0
787036.284449,1975.0,22185.0
787036.2774670002,1976.0,22170.0
787036.2694890002,1977.0,22170.0
787036.262507,1978.0,22165.0
787036.254529,1979.0,22159.0
786813.153666,1994.0,22200.0
786813.144703,1995.0,22200.0
786813.136726,1996.0,22200.0
786813.127749,1997.0,22200.0
786813.118738,1998.0,22200.0
786813.1097970002,1999.0,22185.0
786813.101819,2000.0,22170.0
786813.09384,2001.0,22170.0
786813.085862,2002.0,22165.0
786813.07888,2003.0,22159.0
786432.488778,2043.0,22201.0
786432.479801,2044.0,22200.0
786432.4718020002,2045.0,22200.0
786432.464841,2046.0,22200.0
786432.4578600002,2047.0,22200.0
786432.4498810002,2048.0,22185.0
786432.4429,2049.0,22170.0
786432.434921,2050.0,22170.0
786432.426942,2051.0,22165.0
786432.4199529998,2052.0,22159.0
786292.7922220002,1.0,625695.0
786292.783246,2.0,613005.0
786292.7752680002,3.0,556290.0
786292.768286,4.0,552915.0
786292.760308,5.0,551445.0
786292.7533260002,6.0,533215.0
786292.745348,7.0,449805.0
786292.738366,8.0,445405.0
786292.730388,9.0,430440.0
786292.721411,10.0,410295.0
786062.38234,2083.0,22201.0
786062.373364,2084.0,22200.0
786062.365385,2085.0,22200.0
786062.3584039998,2086.0,22200.0
786062.350425,2087.0,22200.0
786062.342446,2088.0,22200.0
786062.335465,2089.0,22185.0
786062.327487,2090.0,22170.0
786062.3205050002,2091.0,22170.0
786062.312526,2092.0,22165.0
785941.332436,1.0,639330.0
785941.323459,2.0,626295.0
785941.31548,3.0,569910.0
785941.307502,4.0,568575.0
785941.298527,5.0,564900.0
785941.289549,6.0,546025.0
785941.280574,7.0,463590.0
785941.272595,8.0,445405.0
785941.2656149998,9.0,430440.0
785941.256639,10.0,422535.0
785280.7472979998,2195.0,22201.0
